tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,target_raw,q_env_lo,q_env_hi,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen
0,0,right_shoulder_pitch,-0.001534,0.000000,-0.001421,0.022500,-0.001421,1.484000,1.484000,-0.872665,3.141593,0.000112,0,1.485534,Accelerate,traj_vel,0.000900,-0.003792,0.150000,0.045000,0.191208,-0.031128,0.022500,8.000,2.000,0,0
1,5,right_shoulder_pitch,-0.001534,0.000000,-0.001196,0.045000,-0.001196,1.484000,1.484000,-0.872665,3.141593,0.000337,0,1.485534,Accelerate,traj_vel,0.002700,-0.003792,0.150000,0.090000,0.236208,-0.007324,0.045000,8.000,2.000,0,0
2,10,right_shoulder_pitch,-0.001534,0.000000,-0.000859,0.067500,-0.000859,1.484000,1.484000,-0.872665,3.141593,0.000675,0,1.485534,Accelerate,traj_vel,0.005400,-0.003792,0.150000,0.135000,0.281208,0.146488,0.067500,8.000,2.000,0,0
3,15,right_shoulder_pitch,-0.001534,0.000000,-0.000409,0.090000,-0.000409,1.484000,1.484000,-0.872665,3.141593,0.001125,0,1.485534,Accelerate,traj_vel,0.009000,-0.003792,0.150000,0.180000,0.326208,0.223396,0.090000,8.000,2.000,0,0
4,20,right_shoulder_pitch,-0.000383,0.071902,0.000154,0.112500,0.000154,1.484000,1.484000,-0.872665,3.141593,0.000537,0,1.484383,Accelerate,traj_vel,0.004296,-0.000948,0.150000,0.189049,0.338101,0.269172,0.112500,8.000,2.000,0,0
5,25,right_shoulder_pitch,0.000383,0.047939,0.000829,0.135000,0.000829,1.484000,1.484000,-0.872665,3.141593,0.000445,0,1.483617,Accelerate,traj_vel,0.003560,0.000948,0.150000,0.219067,0.370015,0.292979,0.135000,8.000,2.000,0,0
6,30,right_shoulder_pitch,0.001150,0.047938,0.001616,0.157500,0.001616,1.484000,1.484000,-0.872665,3.141593,0.000466,0,1.482850,Accelerate,traj_vel,0.003724,0.002844,0.150000,0.252832,0.405676,0.338756,0.157500,8.000,2.000,0,0
7,35,right_shoulder_pitch,0.001917,0.047938,0.002516,0.180000,0.002516,1.484000,1.484000,-0.872665,3.141593,0.000599,0,1.482083,Accelerate,traj_vel,0.004788,0.004740,0.150000,0.289405,0.444145,0.408336,0.180000,8.000,2.000,0,0
8,40,right_shoulder_pitch,0.002301,0.023968,0.003529,0.202500,0.003529,1.484000,1.484000,-0.872665,3.141593,0.001228,0,1.481699,Accelerate,traj_vel,0.009820,0.005688,0.150000,0.340069,0.495758,0.401012,0.202500,8.000,2.000,0,0
9,45,right_shoulder_pitch,0.003068,0.047933,0.004654,0.225000,0.004654,1.484000,1.484000,-0.872665,3.141593,0.001586,0,1.480932,Accelerate,traj_vel,0.012684,0.007584,0.150000,0.377335,0.534920,0.432143,0.225000,8.000,2.000,0,0
10,50,right_shoulder_pitch,0.003451,0.023970,0.005891,0.247500,0.005891,1.484000,1.484000,-0.872665,3.141593,0.002440,0,1.480549,Accelerate,traj_vel,0.019516,0.008532,0.150000,0.428517,0.587049,0.501723,0.247500,8.000,2.000,0,0
11,55,right_shoulder_pitch,0.003835,0.023964,0.007241,0.270000,0.007241,1.484000,1.484000,-0.872665,3.141593,0.003406,0,1.480165,Accelerate,traj_vel,0.027249,0.009480,0.150000,0.478156,0.637636,0.628070,0.270000,8.000,2.000,0,0
12,60,right_shoulder_pitch,0.004602,0.047945,0.008704,0.292500,0.008704,1.484000,1.484000,-0.872665,3.141593,0.004102,0,1.479398,Accelerate,traj_vel,0.032813,0.011377,0.150000,0.514644,0.676021,0.646384,0.292500,8.000,2.000,0,0
13,65,right_shoulder_pitch,0.004602,0.000000,0.010279,0.315000,0.010279,1.484000,1.484000,-0.872665,3.141593,0.005677,0,1.479398,Accelerate,traj_vel,0.045413,0.011377,0.150000,0.577233,0.738610,0.668356,0.315000,8.000,2.000,0,0
14,70,right_shoulder_pitch,0.004985,0.023968,0.011966,0.337500,0.011966,1.484000,1.484000,-0.872665,3.141593,0.006981,0,1.479015,Accelerate,traj_vel,0.055845,0.012325,0.150000,0.623441,0.785765,0.664694,0.337500,8.000,2.000,0,0
15,75,right_shoulder_pitch,0.005369,0.023960,0.013766,0.360000,0.013766,1.484000,1.484000,-0.872665,3.141593,0.008397,0,1.478631,Accelerate,traj_vel,0.067177,0.013273,0.150000,0.669350,0.832623,0.792872,0.360000,8.000,2.000,0,0
16,80,right_shoulder_pitch,0.006136,0.047954,0.015679,0.382500,0.015679,1.484000,1.484000,-0.872665,3.141593,0.009543,0,1.477864,Accelerate,traj_vel,0.076341,0.015169,0.150000,0.703036,0.868205,0.875269,0.382500,8.000,2.000,0,0
17,85,right_shoulder_pitch,0.006903,0.047937,0.017704,0.405000,0.017704,1.484000,1.484000,-0.872665,3.141593,0.010801,0,1.477097,Accelerate,traj_vel,0.086405,0.017065,0.150000,0.739559,0.906623,0.866114,0.405000,8.000,2.000,0,0
18,90,right_shoulder_pitch,0.007670,0.047936,0.019841,0.427500,0.019841,1.484000,1.484000,-0.872665,3.141297,0.012171,0,1.476330,Accelerate,traj_vel,0.097369,0.018961,0.150000,0.778201,0.947162,0.822169,0.427500,8.000,2.000,0,0
19,95,right_shoulder_pitch,0.008820,0.071879,0.022091,0.450000,0.022091,1.484000,1.484000,-0.872665,3.139750,0.013271,0,1.475180,Accelerate,traj_vel,0.106165,0.021805,0.150000,0.806461,0.978266,0.875269,0.450000,8.000,2.000,0,0
20,100,right_shoulder_pitch,0.010354,0.095910,0.024454,0.472500,0.024454,1.484000,1.484000,-0.872665,3.138147,0.014099,0,1.473646,Accelerate,traj_vel,0.112793,0.025597,0.150000,0.826891,1.002488,0.966825,0.472500,8.000,2.000,0,0
21,105,right_shoulder_pitch,0.011505,0.071901,0.026929,0.495000,0.026929,1.484000,1.484000,-0.872665,3.136487,0.015424,0,1.472495,Accelerate,traj_vel,0.123389,0.028441,0.150000,0.865468,1.043908,0.930204,0.495000,8.000,2.000,0,0
22,110,right_shoulder_pitch,0.013807,0.143852,0.029516,0.517500,0.029516,1.484000,1.484000,-0.872665,3.134772,0.015709,0,1.470193,Accelerate,traj_vel,0.125676,0.034130,0.150000,0.869675,1.053805,0.813013,0.517500,8.000,2.000,0,0
