tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,target_raw,q_env_lo,q_env_hi,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen
0,0,right_shoulder_pitch,-0.017257,0.000000,-0.017145,0.022500,-0.017145,1.484000,1.484000,-0.872665,3.141593,0.000113,0,1.501257,Accelerate,traj_vel,0.000900,-0.042660,0.150000,0.045000,0.152340,-0.049438,0.022500,8.000,2.000,0,0
1,5,right_shoulder_pitch,-0.016874,0.010658,-0.016920,0.045000,-0.016874,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.500874,Accelerate,traj_vel,0.000000,-0.041712,0.150000,0.084671,0.192959,-0.023804,0.045000,8.000,2.000,0,0
2,10,right_shoulder_pitch,-0.016874,0.000000,-0.016582,0.067500,-0.016582,1.484000,1.484000,-0.872665,3.141593,0.000292,0,1.500874,Accelerate,traj_vel,0.002332,-0.041712,0.150000,0.131003,0.239291,0.086063,0.067500,8.000,2.000,0,0
3,15,right_shoulder_pitch,-0.016874,0.000000,-0.016132,0.090000,-0.016132,1.484000,1.484000,-0.872665,3.141593,0.000742,0,1.500874,Accelerate,traj_vel,0.005932,-0.041712,0.150000,0.177002,0.285290,0.153812,0.090000,8.000,2.000,0,0
4,20,right_shoulder_pitch,-0.016107,0.047936,-0.015570,0.112500,-0.015570,1.484000,1.484000,-0.872665,3.141593,0.000537,0,1.500107,Accelerate,traj_vel,0.004296,-0.039816,0.150000,0.198784,0.308968,0.164798,0.112500,8.000,2.000,0,0
5,25,right_shoulder_pitch,-0.014956,0.071914,-0.014895,0.135000,-0.014895,1.484000,1.484000,-0.872665,3.141593,0.000062,0,1.498956,Accelerate,traj_vel,0.000492,-0.036972,0.150000,0.214381,0.327408,0.084232,0.135000,8.000,2.000,0,0
6,30,right_shoulder_pitch,-0.013039,0.119832,-0.014107,0.157500,-0.013039,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.497039,Accelerate,traj_vel,0.000000,-0.032233,0.150000,0.213369,0.331137,0.098881,0.157500,8.000,2.000,0,0
7,35,right_shoulder_pitch,-0.011121,0.119853,-0.013207,0.180000,-0.011121,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.495121,Accelerate,traj_vel,0.000000,-0.027493,0.150000,0.223851,0.346358,0.245368,0.180000,8.000,2.000,0,0
8,40,right_shoulder_pitch,-0.009204,0.119809,-0.012195,0.202500,-0.009204,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.493204,Accelerate,traj_vel,0.000000,-0.022753,0.150000,0.242983,0.370231,0.258186,0.202500,8.000,2.000,0,0
9,45,right_shoulder_pitch,-0.006519,0.167825,-0.011070,0.225000,-0.006519,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.490519,Accelerate,traj_vel,0.000000,-0.016117,0.150000,0.244575,0.378458,0.161136,0.225000,8.000,2.000,0,0
