tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,target_raw,q_env_lo,q_env_hi,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen
1,5,right_shoulder_pitch,1.512168,0.000000,1.512168,0.000000,1.512168,1.512168,1.512168,-0.872665,3.141593,0.000000,0,0.000000,Hold,settle,0.000000,2.467873,0.000000,0.000000,2.467873,0.355235,0.000000,8.000,2.000,0,0
2,10,right_shoulder_pitch,1.509484,-0.096014,1.512168,0.000000,1.512168,1.512168,1.512168,-0.872665,3.141593,0.002684,0,0.002684,Hold,settle,0.021476,2.467475,0.008053,0.000000,2.475528,0.269172,0.000000,8.000,2.000,0,0
3,15,right_shoulder_pitch,1.510634,0.071948,1.512168,0.000000,1.512168,1.512168,1.512168,-0.872665,3.141593,0.001534,0,0.001534,Hold,settle,0.012272,2.467647,0.004602,0.000000,2.472249,1.267129,0.000000,8.000,2.000,0,0
4,20,right_shoulder_pitch,1.513702,0.153411,1.512168,0.000000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.001534,0,-0.001534,Hold,settle,-0.012272,2.468092,-0.004602,0.000000,2.463490,1.931820,0.000000,8.000,2.000,0,0
5,25,right_shoulder_pitch,1.519454,0.359531,1.512168,0.000000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.007286,0,-0.007286,Hold,settle,-0.058291,2.468862,-0.021859,0.000000,2.447003,1.862240,0.000000,8.000,2.000,0,0
6,30,right_shoulder_pitch,1.527124,0.479380,1.512168,0.000000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.014956,0,-0.014956,Hold,settle,-0.119651,2.469763,-0.044869,0.000000,2.424894,1.979431,0.000000,8.000,2.000,0,0
7,35,right_shoulder_pitch,1.535179,0.503327,1.512168,0.000000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.023010,0,-0.023010,Hold,settle,-0.184084,2.470552,-0.150000,0.000000,2.320552,2.442702,0.000000,8.000,2.000,0,0
8,40,right_shoulder_pitch,1.543615,0.527339,1.543503,-0.022500,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.031447,0,-0.031447,Accelerate,traj_vel,-0.251578,2.471207,-0.150000,-0.732344,1.588863,2.109439,-0.022500,8.000,2.000,0,0
9,45,right_shoulder_pitch,1.553203,0.599179,1.543278,-0.045000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.041035,0,-0.041035,Accelerate,traj_vel,-0.328278,2.471737,-0.150000,-0.905097,1.416640,1.565598,-0.045000,8.000,2.000,0,0
10,50,right_shoulder_pitch,1.562791,0.599202,1.542940,-0.067500,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.050623,1,-0.050623,Accelerate,traj_vel,-0.404983,2.472041,-0.150000,-1.045924,1.276117,1.391644,-0.067500,8.000,2.000,0,0
11,55,right_shoulder_pitch,1.571228,0.527357,1.542490,-0.090000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.059060,1,-0.059060,Accelerate,traj_vel,-0.472478,2.472120,-0.150000,-1.126872,1.195248,1.485032,-0.090000,8.000,2.000,0,0
12,60,right_shoulder_pitch,1.577747,0.407489,1.541990,-0.100000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.065579,1,-0.065579,Cruise,traj_vel,-0.524633,2.472060,-0.150000,-1.113898,1.208162,1.246988,-0.100000,8.000,2.000,0,0
13,65,right_shoulder_pitch,1.583117,0.335605,1.541490,-0.100000,1.512168,1.512168,1.512168,-0.872665,3.141593,-0.070949,1,-0.070949,Cruise,traj_vel,-0.567591,2.471932,-0.150000,-1.053226,1.268706,0.745261,-0.100000,8.000,2.000,0,0
